mode,top,name,acc,type,layout
hover,0,cai,0.430267062,general,qwerty
hover,1,cai,0.540059347,general,qwerty
hover,2,cai,0.623145401,general,qwerty
hover,3,cai,0.658753709,general,qwerty
hover,4,cai,0.697329377,general,qwerty
place,0,luyiqin,0.43030303,general,qwerty
place,1,luyiqin,0.533333333,general,qwerty
place,2,luyiqin,0.575757576,general,qwerty
place,3,luyiqin,0.639393939,general,qwerty
place,4,luyiqin,0.693939394,general,qwerty
hover,0,luyiqin,0.335347432,general,qwerty
hover,1,luyiqin,0.444108761,general,qwerty
hover,2,luyiqin,0.49244713,general,qwerty
hover,3,luyiqin,0.52265861,general,qwerty
hover,4,luyiqin,0.549848943,general,qwerty
place,0,fjy,0.545180723,general,qwerty
place,1,fjy,0.707831325,general,qwerty
place,2,fjy,0.756024096,general,qwerty
place,3,fjy,0.807228916,general,qwerty
place,4,fjy,0.834337349,general,qwerty
hover,0,fjy,0.62202381,general,qwerty
hover,1,fjy,0.755952381,general,qwerty
hover,2,fjy,0.806547619,general,qwerty
hover,3,fjy,0.845238095,general,qwerty
hover,4,fjy,0.854166667,general,qwerty
place,0,lc,0.536656891,general,qwerty
place,1,lc,0.653958944,general,qwerty
place,2,lc,0.724340176,general,qwerty
place,3,lc,0.771260997,general,qwerty
place,4,lc,0.803519062,general,qwerty
hover,0,lc,0.818452381,general,qwerty
hover,1,lc,0.913690476,general,qwerty
hover,2,lc,0.9375,general,qwerty
hover,3,lc,0.958333333,general,qwerty
hover,4,lc,0.964285714,general,qwerty
place,0,lwk,0.495522388,general,qwerty
place,1,lwk,0.620895522,general,qwerty
place,2,lwk,0.686567164,general,qwerty
place,3,lwk,0.749253731,general,qwerty
place,4,lwk,0.785074627,general,qwerty
hover,0,lwk,0.389570552,general,qwerty
hover,1,lwk,0.521472393,general,qwerty
hover,2,lwk,0.585889571,general,qwerty
hover,3,lwk,0.634969325,general,qwerty
hover,4,lwk,0.67791411,general,qwerty
place,0,lxy,0.098461538,general,qwerty
place,1,lxy,0.184615385,general,qwerty
place,2,lxy,0.233846154,general,qwerty
place,3,lxy,0.258461538,general,qwerty
place,4,lxy,0.316923077,general,qwerty
hover,0,lxy,0.521084337,general,qwerty
hover,1,lxy,0.635542169,general,qwerty
hover,2,lxy,0.695783133,general,qwerty
hover,3,lxy,0.774096386,general,qwerty
hover,4,lxy,0.81626506,general,qwerty
place,0,qdn,0.410714286,general,qwerty
place,1,qdn,0.532738095,general,qwerty
place,2,qdn,0.580357143,general,qwerty
place,3,qdn,0.601190476,general,qwerty
place,4,qdn,0.62202381,general,qwerty
hover,0,qdn,0.703264095,general,qwerty
hover,1,qdn,0.804154303,general,qwerty
hover,2,qdn,0.866468843,general,qwerty
hover,3,qdn,0.90504451,general,qwerty
hover,4,qdn,0.919881306,general,qwerty
place,0,wyd,0.186046512,general,qwerty
place,1,wyd,0.261627907,general,qwerty
place,2,wyd,0.328488372,general,qwerty
place,3,wyd,0.389534884,general,qwerty
place,4,wyd,0.427325581,general,qwerty
hover,0,wyd,0.65830721,general,qwerty
hover,1,wyd,0.752351097,general,qwerty
hover,2,wyd,0.802507837,general,qwerty
hover,3,wyd,0.843260188,general,qwerty
hover,4,wyd,0.87460815,general,qwerty
place,0,czt,0.287390029,general,qwerty
place,1,czt,0.387096774,general,qwerty
place,2,czt,0.425219941,general,qwerty
place,3,czt,0.46627566,general,qwerty
