mode,top,name,acc,k
hover,2,gsh,0.976190476,0.8
hover,3,gsh,0.985119048,0.8
hover,4,gsh,0.988095238,0.8
place,0,fsq,0.637168142,0.8
place,1,fsq,0.761061947,0.8
place,2,fsq,0.81120944,0.8
place,3,fsq,0.837758112,0.8
place,4,fsq,0.85840708,0.8
hover,0,fsq,0.669590643,0.8
hover,1,fsq,0.783625731,0.8
hover,2,fsq,0.842105263,0.8
hover,3,fsq,0.871345029,0.8
hover,4,fsq,0.883040936,0.8
place,0,wangchen1,0.765625,1
place,1,wangchen1,0.8875,1
place,2,wangchen1,0.9125,1
place,3,wangchen1,0.95,1
place,4,wangchen1,0.971875,1
hover,0,wangchen1,0.778787879,1
hover,1,wangchen1,0.9,1
hover,2,wangchen1,0.942424242,1
hover,3,wangchen1,0.954545455,1
hover,4,wangchen1,0.957575758,1
place,0,cai,0.4375,1
place,1,cai,0.55952381,1
place,2,cai,0.62202381,1
place,3,cai,0.672619048,1
place,4,cai,0.702380952,1
hover,0,cai,0.528189911,1
hover,1,cai,0.676557864,1
hover,2,cai,0.753709199,1
hover,3,cai,0.807121662,1
hover,4,cai,0.824925816,1
place,0,luyiqin,0.639393939,1
place,1,luyiqin,0.766666667,1
place,2,luyiqin,0.821212121,1
place,3,luyiqin,0.848484848,1
place,4,luyiqin,0.878787879,1
hover,0,luyiqin,0.504531722,1
hover,1,luyiqin,0.628398792,1
hover,2,luyiqin,0.667673716,1
hover,3,luyiqin,0.703927492,1
hover,4,luyiqin,0.758308157,1
place,0,fjy,0.611445783,1
place,1,fjy,0.768072289,1
place,2,fjy,0.843373494,1
place,3,fjy,0.86746988,1
place,4,fjy,0.888554217,1
hover,0,fjy,0.592261905,1
hover,1,fjy,0.714285714,1
hover,2,fjy,0.773809524,1
hover,3,fjy,0.806547619,1
hover,4,fjy,0.824404762,1
place,0,lc,0.653958944,1
place,1,lc,0.741935484,1
place,2,lc,0.791788856,1
place,3,lc,0.824046921,1
place,4,lc,0.847507331,1
hover,0,lc,0.729166667,1
hover,1,lc,0.833333333,1
hover,2,lc,0.866071429,1
hover,3,lc,0.889880952,1
hover,4,lc,0.913690476,1
place,0,lwk,0.647761194,1
place,1,lwk,0.785074627,1
place,2,lwk,0.856716418,1
place,3,lwk,0.892537313,1
place,4,lwk,0.91641791,1
hover,0,lwk,0.680981595,1
hover,1,lwk,0.766871166,1
hover,2,lwk,0.837423313,1
hover,3,lwk,0.874233129,1
hover,4,lwk,0.901840491,1
place,0,lxy,0.729230769,1
place,1,lxy,0.861538462,1
place,2,lxy,0.889230769,1
place,3,lxy,0.907692308,1
place,4,lxy,0.929230769,1
hover,0,lxy,0.786144578,1
hover,1,lxy,0.918674699,1
hover,2,lxy,0.951807229,1
hover,3,lxy,0.963855422,1
hover,4,lxy,0.972891566,1
place,0,qdn,0.657738095,1
place,1,qdn,0.767857143,1
place,2,qdn,0.794642857,1
place,3,qdn,0.824404762,1
place,4,qdn,0.848214286,1
hover,0,qdn,0.652818991,1
hover,1,qdn,0.774480712,1
hover,2,qdn,0.833827893,1
hover,3,qdn,0.854599407,1
hover,4,qdn,0.878338279,1
place,0,wyd,0.686046512,1
place,1,wyd,0.822674419,1
place,2,wyd,0.872093023,1
place,3,wyd,0.89244186,1
place,4,wyd,0.912790698,1
hover,0,wyd,0.692789969,1
hover,1,wyd,0.796238245,1
hover,2,wyd,0.855799373,1
hover,3,wyd,0.880877743,1
hover,4,wyd,0.909090909,1
place,0,czt,0.554252199,1
place,1,czt,0.677419355,1
place,2,czt,0.736070381,1
place,3,czt,0.809384164,1
place,4,czt,0.829912023,1
hover,0,czt,0.559633028,1
hover,1,czt,0.669724771,1
hover,2,czt,0.752293578,1
hover,3,czt,0.798165138,1
hover,4,czt,0.819571865,1
place,0,gsh,0.798165138,1
place,1,gsh,0.889908257,1
place,2,gsh,0.941896024,1
place,3,gsh,0.948012232,1
place,4,gsh,0.966360856,1
hover,0,gsh,0.806547619,1
hover,1,gsh,0.913690476,1
hover,2,gsh,0.952380952,1
hover,3,gsh,0.973214286,1
hover,4,gsh,0.982142857,1
place,0,fsq,0.578171091,1
place,1,fsq,0.702064897,1
place,2,fsq,0.787610619,1
place,3,fsq,0.81120944,1
place,4,fsq,0.831858407,1
hover,0,fsq,0.625730994,1
hover,1,fsq,0.739766082,1
hover,2,fsq,0.801169591,1
hover,3,fsq,0.83625731,1
hover,4,fsq,0.856725146,1
place,0,wangchen1,0.825,0.7
place,1,wangchen1,0.9125,0.7
place,2,wangchen1,0.940625,0.7
place,3,wangchen1,0.965625,0.7
place,4,wangchen1,0.975,0.7
hover,0,wangchen1,0.83030303,0.7
hover,1,wangchen1,0.933333333,0.7
hover,2,wangchen1,0.960606061,0.7
hover,3,wangchen1,0.966666667,0.7
hover,4,wangchen1,0.978787879,0.7
place,0,cai,0.467261905,0.7
place,1,cai,0.601190476,0.7
place,2,cai,0.657738095,0.7
place,3,cai,0.705357143,0.7
place,4,cai,0.735119048,0.7
hover,0,cai,0.59347181,0.7
hover,1,cai,0.744807122,0.7
hover,2,cai,0.816023739,0.7
hover,3,cai,0.848664688,0.7
hover,4,cai,0.87537092,0.7
place,0,luyiqin,0.7,0.7
place,1,luyiqin,0.821212121,0.7
place,2,luyiqin,0.866666667,0.7
place,3,luyiqin,0.912121212,0.7
place,4,luyiqin,0.927272727,0.7
hover,0,luyiqin,0.528700906,0.7
hover,1,luyiqin,0.652567976,0.7
hover,2,luyiqin,0.697885196,0.7
hover,3,luyiqin,0.737160121,0.7
hover,4,luyiqin,0.788519637,0.7
place,0,fjy,0.707831325,0.7
place,1,fjy,0.822289157,0.7
place,2,fjy,0.861445783,0.7
place,3,fjy,0.885542169,0.7
place,4,fjy,0.90060241,0.7
hover,0,fjy,0.616071429,0.7
hover,1,fjy,0.776785714,0.7
hover,2,fjy,0.836309524,0.7
hover,3,fjy,0.857142857,0.7
hover,4,fjy,0.880952381,0.7
place,0,lc,0.695014663,0.7
place,1,lc,0.791788856,0.7
place,2,lc,0.832844575,0.7
place,3,lc,0.853372434,0.7
